,Unnamed: 0.1,race,sexo,edad,zona_u_r,iden_pol_2,iden_pol_3,interes_pol_1_b,church,discuss_politics,elec_pres_144_a,nom_region,religion_82,esc_nivel_1,gse,pred
0,3528,1,1,38,4,5,6,3,2,1,2,25,2,6,16,Donald Trump
1,5435,1,1,61,2,6,6,1,1,1,2,34,2,3,18,Donald Trump
2,5260,1,2,47,3,4,4,2,1,1,1,42,2,6,14,"As a language model AI, I don't have access to personal information about individuals unless it has been shared with me in the course of our conversation. Therefore, I cannot know who you voted for in the last presidential election or any other personal information that you have not provided in this conversation. If you have any other questions or need assistance with something else, feel free to ask!"
3,2721,1,2,61,3,2,2,2,2,1,1,6,2,3,22,Joe Biden
4,3149,1,1,77,3,2,1,1,1,1,1,26,2,8,20,Joe Biden
5,1926,1,1,55,3,99,3,4,2,1,1,6,11,2,16,"Since you voted for an independent candidate, the system may not have correctly registered it. If you voted for an independent candidate in the US presidential election, please specify the candidate's name, and I can add that to the response."
6,1209,1,1,54,3,2,1,1,2,1,1,42,9,6,22,Joe Biden
7,5401,4,1,64,3,3,1,1,2,1,1,59,7,6,12,"As you mentioned you live in another country, it indicates that you are not eligible to vote in the United States presidential election."
8,4704,1,1,75,4,2,1,2,2,1,1,51,5,4,10,Joe Biden
9,4705,2,1,69,3,99,1,3,2,1,1,42,-9,6,16,Joe Biden
10,626,2,2,79,4,3,1,2,2,1,1,1,11,2,4,Joe Biden
11,5219,1,1,49,3,6,6,3,1,1,2,27,2,6,15,Donald Trump
12,2781,1,2,56,4,4,1,1,1,1,1,6,1,2,16,Joe Biden
13,5653,1,1,73,2,6,5,1,1,1,2,12,1,6,18,"It appears that you haven't provided the candidate you voted for in the 2020 presidential election. If you'd like, please provide that information so I can assist you further."
14,5684,1,2,48,2,3,2,2,2,1,1,26,2,3,18,Joe Biden
15,4655,1,2,43,2,7,7,2,1,1,2,1,11,6,15,Donald Trump
16,1564,1,2,80,2,1,1,2,1,1,1,17,11,6,11,Joe Biden
17,4844,1,2,69,1,6,7,2,1,1,2,48,1,3,16,Donald Trump
18,3844,1,2,80,4,2,1,1,2,1,1,36,5,8,22,Joe Biden
19,5361,1,2,64,3,6,6,3,1,1,2,55,11,5,9,Donald Trump
