,Unnamed: 0.1,Column1,sexo,edad,nom_region,zona_u_r,gse,esc_nivel_1,info_enc_58,info_enc_30,religion_82,iden_pol_2,iden_pol_3,interes_pol_1_b,elec_pres_144_a,constitucion_20_a,polarizacion_1_a,polarizacion_1_b,religion_14,democracia_21,percepcion_1_a,eval_gob_1,pred
0,0,3,2,40,METROPOLITANA,1,3,3,2,0.0,9,8,15,5,2.0,2.0,9,9,2,3,1,2,"{'explicación': 'La persona se identifica más con la derecha en política, por lo que es probable que haya votado por José Antonio Kast Rist, quien representa ese espectro político.', 'respuesta': 'José Antonio Kast Rist'}"
1,2,8,2,54,VALPARAÍSO,1,3,6,2,0.0,1,5,15,3,1.0,2.0,5,5,3,3,9,1,"{'explicación': 'Dado que la persona se encuentra más cercana al centro político, no simpatiza con ningún partido específico y está algo interesada en política, es probable que haya votado por Gabriel Boric Font como una opción más moderada en las elecciones presidenciales del 2021.', 'respuesta': 'Gabriel Boric Font'}"
2,5,15,2,39,MAULE,1,2,8,2,0.0,1,10,13,3,2.0,2.0,10,0,2,1,3,2,"{'explicación': 'Basándonos en las características sociodemográficas proporcionadas, con nivel socioeconómico C2, nivel de escolaridad universitaria completa, y mayor simpatía hacia la extrema derecha y el partido UDI, es probable que esta persona haya votado por José Antonio Kast Rist en las elecciones presidenciales del 2021.', 'respuesta': 'José Antonio Kast Rist'}"
3,6,17,1,21,MAULE,1,2,7,2,0.0,1,6,1,3,1.0,1.0,5,5,3,1,9,1,"{
    ""explicación"": ""A pesar de sentirse cercano a la centro y simpatizar con la Democracia Cristiana, al ser una persona joven y con nivel universitario incompleto se podría inferir que tiene una inclinación hacia candidatos más progresistas y de cambio, como Gabriel Boric Font."",
    ""respuesta"": ""Gabriel Boric Font""
}"
4,7,18,2,19,METROPOLITANA,1,2,4,2,0.0,9,6,15,4,1.0,1.0,1,6,3,1,1,1,"{'explicación': 'La persona se identifica más con el centro político, por lo que es más probable que haya votado por Gabriel Boric Font, quien representa ideas más cercanas al centro que José Antonio Kast Rist.', 'respuesta': 'Gabriel Boric Font'}"
5,8,21,2,36,METROPOLITANA,1,1,8,2,0.0,9,5,15,3,1.0,1.0,0,0,2,1,14,3,"{'explicación': 'Dado que la persona se encuentra en el centro político y no siente simpatía por ningún partido, es difícil predecir su voto en las elecciones presidenciales del 2021. En este caso, la alternativa más probable sería que esta persona haya votado nulo.', 'respuesta': Votó nulo}"
6,9,22,1,34,METROPOLITANA,1,2,4,2,0.0,9,5,15,3,3.0,2.0,5,5,2,2,3,2,"{'explicación': 'Dado que la persona se siente más cercana al centro político, no simpatiza con ningún partido y está algo interesada en política, es probable que haya optado por una opción más moderada y conciliadora en las elecciones presidenciales del 2021.', 'respuesta': Gabriel Boric Font}"
7,10,31,2,42,METROPOLITANA,1,3,3,2,0.0,9,3,9,2,1.0,1.0,2,7,3,1,27,1,"{'explicación': 'Basándonos en que la persona se siente cercana a la izquierda, simpatiza con el Partido Socialista y está bastante interesada en política, es probable que haya votado por Gabriel Boric Font, quien representa una postura más de izquierda en las elecciones presidenciales del 2021.', 'respuesta': 'Gabriel Boric Font'}"
8,12,34,1,21,METROPOLITANA,1,4,3,2,0.0,10,5,17,4,1.0,2.0,5,5,2,1,9,1,"{
    'explicación': 'Dado que la persona se identifica como atea y simpatiza con el Partido de la Gente (PDG), es probable que haya votado por José Antonio Kast Rist, quien ha tenido una postura conservadora en temas religiosos y políticos.',
    'respuesta': 'José Antonio Kast Rist'
}"
9,13,36,2,35,VALPARAÍSO,1,4,7,1,5.0,11,5,15,3,1.0,1.0,0,5,3,1,26,1,"{'explicación': 'La persona se identifica como centro y no tiene simpatía por algún partido político específico, por lo tanto, es probable que haya votado nulo en las elecciones presidenciales del año mencionado.', 'respuesta': 'Votó nulo'}"
